architecture,training_family,regularization,source,n,events_per_neuron_second_mean,mean_abs_evidence_mean,mean_abs_final_membrane_mean,mean_events_per_valid_output_position_mean,mean_total_output_events_per_sample_mean,negative_evidence_fraction_mean,potential_multi_crossing_fraction_mean,zero_spike_sample_fraction_mean,negative_event_fraction_mean,positive_event_fraction_mean,events_per_neuron_second_std,mean_abs_evidence_std,mean_abs_final_membrane_std,mean_events_per_valid_output_position_std,mean_total_output_events_per_sample_std,negative_evidence_fraction_std,potential_multi_crossing_fraction_std,zero_spike_sample_fraction_std,negative_event_fraction_std,positive_event_fraction_std
234x234,e2e_wc,task_plus_reg,probe_bipolar_lif_beta05_cap1,3,1.1293719166482585,0.05435674673241656,0.05994764331224278,0.01764643619762904,17.509132420091323,0.40001196524556365,0.0002208968411751712,0.6803652968036529,0.16216803581518668,0.17116529751814666,1.9561295402762269,0.051627535410439684,0.04495283167326046,0.030564524066816045,30.32670694804959,0.006198350014414224,0.0003826045521468693,0.5536235457982712,0.2808832773955527,0.29646699179407304
234x234,e2e_wc,task_plus_reg,probe_if_beta1_cap1,3,2.1453501214932627,0.05435674673241656,1.5872909014783172,0.03352109564833223,33.26027397260274,0.40001196524556365,0.0017073485015830939,0.02511415525114155,,,1.8870730376211917,0.051627535410439684,1.2010309658838698,0.02948551621283112,29.25609466202443,0.006198350014414224,0.0029572143509685104,0.043498992884149885,0.0,0.0
234x234,e2e_wc,task_plus_reg,probe_lif_beta05_cap1,3,0.564759590604521,0.05435674673241656,0.1191737581356237,0.00882436860319564,8.755707762557078,0.40001196524556365,0.00017717767469258524,0.6894977168949771,,,0.9781923049888291,0.051627535410439684,0.09408220987931122,0.015284254765450455,15.165330700974074,0.006198350014414224,0.00030688073453446807,0.537805730204035,0.0,0.0
234x234,e2e_wc,task_plus_reg,probe_lif_beta05_cap31,3,0.5709447021574258,0.05435674673241656,0.11900910668277968,0.008921010971209778,8.851598173515981,0.40001196524556365,0.00012195346439879243,0.6894977168949771,,,0.9889052324489415,0.051627535410439684,0.09380049318484927,0.01545164425701471,15.331417764713555,0.006198350014414224,0.00021122959649775075,0.537805730204035,0.0,0.0
234x234,local_tsce,task_only,probe_analog_sum,3,,0.029918476856513648,,,,0.40380632869449967,,,,,0.0,0.008467360390316968,0.0,0.0,0.0,0.0024259104442043277,0.0,0.0,0.0,0.0
234x234,local_tsce,task_only,probe_bipolar_lif_beta05_cap1,3,0.0,0.029918476856513648,0.04074833467301142,0.0,0.0,0.40380632869449967,0.0,1.0,0.0,0.0,0.0,0.008467360390316968,0.010926655889245723,0.0,0.0,0.0024259104442043277,0.0,0.0,0.0,0.0
234x234,local_tsce,task_only,probe_if_beta1_cap1,3,1.390766512038878,0.029918476856513648,1.1144208238347406,0.021730726750607467,21.561643835616437,0.40380632869449967,0.0,0.0091324200913242,,,0.3853517378477549,0.008467360390316968,0.24148879402263998,0.00602112090387117,5.974271634372554,0.0024259104442043277,0.0,0.010462501586657168,0.0,0.0
234x234,local_tsce,task_only,probe_lif_beta05_cap1,3,0.0,0.029918476856513648,0.07911961272255073,0.0,0.0,0.40380632869449967,0.0,1.0,,,0.0,0.008467360390316968,0.020549576273527177,0.0,0.0,0.0024259104442043277,0.0,0.0,0.0,0.0
234x234,local_tsce,task_only,probe_lif_beta05_cap31,3,0.0,0.029918476856513648,0.07911961272255073,0.0,0.0,0.40380632869449967,0.0,1.0,,,0.0,0.008467360390316968,0.020549576273527177,0.0,0.0,0.0024259104442043277,0.0,0.0,0.0,0.0
234x234,local_tsce,task_plus_reg,probe_analog_sum,3,,0.0506200924784457,,,,0.40030649436713056,,,,,0.0,0.015017711508462601,0.0,0.0,0.0,0.004737769777458671,0.0,0.0,0.0,0.0
234x234,local_tsce,task_plus_reg,probe_bipolar_lif_beta05_cap1,3,0.15006258743833298,0.0506200924784457,0.06727520155028947,0.002344727928723953,2.32648401826484,0.40030649436713056,0.0,0.591324200913242,0.4076745657867211,0.25899210087994556,0.13571218313232924,0.015017711508462601,0.018375709331052894,0.0021205028614426445,2.1040036063015566,0.004737769777458671,0.0,0.35868008624116016,0.353214472850202,0.22454227080320155
